StartTime,EndTime
28/12/2015 10:29:14,28/12/2015 10:44:53
28/12/2015 10:51:08,28/12/2015 10:58:30
28/12/2015 11:22:00,28/12/2015 11:28:22
28/12/2015 11:47:39,28/12/2015 11:54:08
28/12/2015 12:00:55,28/12/2015 12:04:10
28/12/2015 12:08:25,28/12/2015 12:15:33
28/12/2015 13:10:10,28/12/2015 13:26:13
28/12/2015 14:16:20,28/12/2015 14:28:20
29/12/2015 11:11:25,29/12/2015 11:15:17
29/12/2015 11:35:40,29/12/2015 11:42:50
29/12/2015 11:57:25,29/12/2015 12:02:00
29/12/2015 14:38:12,29/12/2015 14:50:08
29/12/2015 18:10:43,29/12/2015 18:15:01
29/12/2015 18:15:43,29/12/2015 18:22:17
29/12/2015 18:30:00,29/12/2015 18:42:00
29/12/2015 22:55:18,29/12/2015 23:03:00
30/12/2015 01:42:34,30/12/2015 01:54:10
30/12/2015 09:51:08,30/12/2015 09:56:28
30/12/2015 10:01:50,30/12/2015 10:12:01
30/12/2015 17:04:56,30/12/2015 17:29:00
31/12/2015 01:17:08,31/12/2015 01:45:18
31/12/2015 01:45:19,31/12/2015 11:15:27
31/12/2015 15:32:00,31/12/2015 15:34:00
31/12/2015 15:47:40,31/12/2015 16:07:10
31/12/2015 22:05:34,31/12/2015 22:11:40
01/01/2016 10:36:00,01/01/2016 10:46:00
01/01/2016 14:21:12,01/01/2016 14:28:35
01/01/2016 17:12:40,01/01/2016 17:14:20
01/01/2016 17:18:56,01/01/2016 17:26:56
01/01/2016 22:16:01,01/01/2016 22:25:00
02/01/2016 11:17:02,02/01/2016 11:24:50
02/01/2016 11:31:38,02/01/2016 11:36:18
02/01/2016 11:43:48,02/01/2016 11:50:28
02/01/2016 11:51:42,02/01/2016 11:56:38
02/01/2016 13:13:02,02/01/2016 13:40:56
