StartTime,EndTime,DurationMinutes
9/10/2017 19:25:0,9/10/2017 19:50:16,25.16
10/10/2017 10:24:10,10/10/2017 10:34:0,9.5
10/10/2017 10:55:0,10/10/2017 11:24:0,29.0
10/10/2017 11:30:40,10/10/2017 11:44:50,14.1
10/10/2017 13:39:30,10/10/2017 13:50:40,11.1
10/10/2017 14:48:17,10/10/2017 14:59:55,11.38
10/10/2017 17:40:0,10/10/2017 17:49:40,9.4
10/10/2017 10:55:0,10/10/2017 10:56:27,1.27
11/10/2017 11:17:54,11/10/2017 11:31:20,13.26
11/10/2017 11:36:31,11/10/2017 11:47:0,10.29
11/10/2017 11:59:0,11/10/2017 12:5:0,6.0
11/10/2017 12:7:30,11/10/2017 12:10:52,3.22
11/10/2017 12:16:0,11/10/2017 12:25:36,9.36
11/10/2017 15:26:30,11/10/2017 15:37:0,10.3
